Code;Désignation courte;Famille;Prix de Vte HT;Prix de Vte TTC;Stock théor.;Stock réel;Stock disponible;Quantité en cde client;Quantité en cde fournisseur
ART1158;Licence Windows Serveur 2019;LOGICIEL;;;-42;-41;-41;1;
ART2204;Serveur NAS - DiskStation DS420j;SERVEUR;499;598.79999999999995;-42;-33;-35;9;
ART1732;Mémoire vive 16 Go, DIMM, 2933 MHz;MEMOIRES VIVES;349;418.8;-41;-45;-45;;4
ART3094;Module site internet;LOGICIEL;;;-41;-41;-41;;
ART1037;YEALINK Téléphone filaire T46S;TELEPHONE;279;334.8;-41;-43;-43;1;3
ART2513;HP 250 G8 8Go,256ssd;PC PORTABLE / TABLETTE / SURFACE;669;802.8;-40;-40;-40;;
ART2286;"ASUS ExpertBook 15"", 8Go,256ssd";PC PORTABLE / TABLETTE / SURFACE;789;946.8;-39;-39;-39;;
ART1463;Certificat SSL-Wildcard -1 an;LOGICIEL;239;286.8;-39;-39;-40;;
ART1189;Logiciel Veeam Backup ;LOGICIEL;435;522;-39;-37;-38;2;
Total;;;;;-25102.1;-21878.6;-22876.1;3838.5;615
